-262, 102, -660
-250, 56, -683
-221, 18, -770
-225, 49, -890
-236, 51, -928
-222, 97, -966
-165, 139, -1020
-100, 23, -1062
-33, 0, -1214
-23, 45, -1354
19, 24, -1302
19, 24, -1302
43, 62, -1279
107, 18, -1305
152, -6, -1373
180, 82, -1411
229, 133, -1420
330, 84, -1363
358, 80, -1459
365, 92, -1518
365, 92, -1518
353, 91, -1585
344, 45, -1553
376, 29, -1532
-,-,-
343, -290, 850
377, -275, 926
406, -319, 971
406, -319, 1095
425, -342, 1095
493, -374, 1200
559, -365, 1350
595, -333, 1548
597, -411, 1625
557, -454, 1631
509, -418, 1531
477, -378, 1455
409, -355, 1363
402, -332, 1328
382, -331, 1124
299, -339, 955
205, -362, 925
124, -320, 905
84, -236, 829
58, -165, 685
58, -165, 685
-52, -155, 538
-106, -178, 447
-183, -235, 375
-211, -217, 312
-253, -113, 209
-290, -56, 90
-303, -61, 48
-282, -58, -7
-273, -79, -160
-275, -90, -328
-275, -90, -328
-300, -35, -474
-306, -26, -511
-306, -70, -489
-260, -63, -541
-181, 17, -651
-139, 53, -826
-94, -12, -903
-50, -5, -908
25, 74, -988
83, 114, -1071
167, 66, -1070
167, 66, -1070
280, -30, -1125
337, 26, -1311
361, 151, -1466
412, 172, -1512
470, 154, -1617
503, 87, -1687
502, 16, -1782
483, 64, -1835
-,-,-
554, -444, 1062
564, -441, 1064
567, -478, 1107
617, -562, 1130
615, -568, 1172
665, -541, 1219
686, -479, 1288
725, -447, 1371
744, -440, 1510
753, -488, 1552
748, -523, 1526
679, -472, 1354
578, -471, 1153
485, -488, 1030
414, -463, 994
314, -478, 966
274, -410, 850
197, -321, 615
197, -321, 615
85, -308, 527
-20, -245, 521
-45, -151, 433
-139, -135, 260
-232, -165, 211
-266, -105, 207
-290, -54, 164
-285, 3, 45
-305, -9, -74
-305, -9, -74
-288, -45, -200
-283, -75, -312
-284, 14, -426
-263, 57, -502
-254, 33, -603
-234, -5, -660
-195, 14, -771
-157, 16, -842
-106, 20, -883
-106, 20, -883
-73, -32, -966
-42, -66, -963
30, -28, -955
153, 62, -1000
250, 111, -1117
322, 57, -1181
365, 38, -1272
390, 90, -1360
351, 225, -1491
341, 193, -1482
390, 102, -1468
414, 96, -1642
414, 96, -1642
439, 95, -1877
-,-,-
529, -329, 939
542, -422, 998
502, -449, 1016
518, -444, 960
531, -418, 931
587, -408, 983
587, -408, 983
674, -475, 1048
763, -518, 1224
831, -471, 1478
890, -378, 1638
920, -315, 1606
885, -328, 1606
819, -470, 1620
758, -578, 1581
733, -568, 1437
716, -497, 1171
632, -415, 917
469, -409, 774
355, -397, 762
288, -285, 641
248, -182, 368
248, -182, 368
37, -225, 214
-87, -181, 212
-197, -140, 187
-255, -187, 230
-245, -133, 133
-302, -45, -25
-311, -104, -9
-289, -165, -28
-248, -87, -153
-223, 64, -442
-226, 98, -521
-197, -22, -558
-197, -22, -558
-188, -24, -613
-168, 130, -724
-128, 127, -806
-54, 2, -720
27, -37, -708
89, 52, -774
144, 139, -923
203, 112, -980
310, 66, -932
310, 66, -932
432, 35, -951
515, 30, -1124
549, 94, -1354
601, 84, -1466
656, 81, -1571
690, 61, -1694
687, 109, -1865
627, 155, -1995
598, 27, -1997
598, 27, -1997
581, -65, -1996
-,-,-
558, -336, 993
592, -372, 1116
624, -485, 1273
723, -507, 1346
722, -408, 1378
770, -357, 1495
799, -311, 1647
799, -329, 1708
756, -420, 1649
766, -460, 1544
707, -404, 1387
639, -387, 1170
536, -369, 981
396, -357, 845
318, -398, 755
186, -364, 623
41, -338, 534
41, -338, 534
-68, -299, 479
-95, -239, 402
-101, -187, 170
-181, -136, -17
-257, -114, -41
-289, -163, 12
-266, -81, 18
-223, 93, -222
-226, 149, -492
-292, 131, -625
-292, 131, -625
-339, 14, -563
-311, 81, -527
-298, 186, -696
-298, 111, -751
-295, 44, -765
-267, 32, -795
-205, 76, -908
-194, 54, -1020
-175, -29, -983
-138, -60, -929
-51, 19, -960
12, 85, -1086
12, 85, -1086
63, 39, -1137
110, -87, -1102
215, -96, -1093
343, 29, -1174
425, 87, -1279
432, 123, -1422
421, 95, -1565
402, 32, -1684
375, 12, -1757
354, -4, -1814
354, -4, -1814
355, -21, -1870
-,-,-
558, -568, 1104
671, -648, 1350
716, -624, 1564
772, -511, 1675
793, -424, 1610
747, -438, 1518
689, -489, 1582
678, -539, 1544
656, -499, 1359
553, -426, 1055
385, -438, 882
261, -470, 906
158, -477, 929
158, -477, 929
113, -453, 738
14, -367, 549
-101, -355, 441
-203, -367, 495
-226, -276, 468
-212, -116, 282
-265, -50, 55
-335, -73, -7
-343, -105, 96
-297, 20, 106
-297, 20, 106
-243, 147, -123
-272, 170, -360
-263, 134, -425
-213, 137, -442
-197, 245, -571
-216, 211, -739
-242, 98, -788
-232, 75, -716
-192, 94, -794
-174, 73, -918
-137, 17, -1056
-94, -14, -1152
-56, 35, -1145
-56, 35, -1145
-24, 100, -1151
18, 96, -1167
96, 90, -1221
176, 95, -1262
198, 133, -1313
184, 191, -1372
181, 202, -1403
192, 139, -1422
192, 80, -1419
201, 98, -1442
243, 148, -1533
257, 160, -1578
257, 160, -1578
242, 148, -1624
246, 106, -1598
283, 75, -1539
